counter,value
1,280.0
2,390.0
3,270.0
4,250.0
5,280.0
6,240.0
7,250.0
8,260.0
9,330.0
10,1100.0
11,2000.0
12,2400.0
13,2400.0
14,18000.0
15,18000.0
16,18000.0
17,31000.0
18,31000.0
19,31000.0
20,46000.0
21,46000.0
22,60000.0
23,60000.0
24,60000.0
25,60000.0
26,60000.0
27,60000.0
28,60000.0
29,60000.0
30,60000.0
31,60000.0
32,60000.0
33,60000.0
34,60000.0
35,60000.0
36,60000.0
37,60000.0
38,60000.0
39,60000.0
40,60000.0
41,60000.0
42,60000.0
43,60000.0
44,60000.0
45,60000.0
46,60000.0
47,60000.0
48,60000.0
49,60000.0
50,60000.0
51,60000.0
52,60000.0
53,60000.0
54,60000.0
55,60000.0
56,60000.0
57,60000.0
58,60000.0
59,60000.0
60,60000.0
61,60000.0
62,60000.0
63,60000.0
64,60000.0
65,60000.0
66,60000.0
67,60000.0
68,60000.0
69,60000.0
70,60000.0
71,60000.0
72,60000.0
73,60000.0
74,60000.0
75,60000.0
76,60000.0
77,60000.0
78,60000.0
79,60000.0
80,60000.0
81,60000.0
82,60000.0
83,60000.0
84,60000.0
85,60000.0
86,60000.0
87,60000.0
88,60000.0
89,59000.0
90,51000.0
91,28000.0
92,44000.0
93,20000.0
94,13000.0
95,14000.0
96,59000.0
97,60000.0
98,60000.0
99,59000.0
100,60000.0
101,60000.0
102,60000.0
103,59000.0
104,60000.0
105,60000.0
106,60000.0
107,60000.0
108,60000.0
109,60000.0
110,60000.0
111,880.0
112,60000.0
113,60000.0
114,60000.0
115,60000.0
116,60000.0
117,60000.0
118,60000.0
119,60000.0
120,60000.0
121,4900.0
122,60000.0
123,160.0
124,160.0
125,140.0
126,150.0
127,160.0
128,160.0
129,41000.0
130,41000.0
131,60000.0
132,60000.0
133,60000.0
134,60000.0
135,59000.0
136,140.0
137,140.0
138,150.0
139,160.0
140,140.0
141,60000.0
142,60000.0
143,60000.0
144,60000.0
145,60000.0
146,60000.0
147,60000.0
148,150.0
149,170.0
150,32000.0
151,32000.0
152,32000.0
153,32000.0
154,59000.0
155,59000.0
156,150.0
157,160.0
158,140.0
159,140.0
160,35000.0
161,35000.0
162,170.0
163,50000.0
164,52000.0
165,60000.0
166,60000.0
167,60000.0
168,140.0
169,40000.0
170,150.0
171,160.0
172,60000.0
173,60000.0
174,60000.0
175,140.0
176,60000.0
