counter,value
1,160.0
2,120.0
3,81
4,81
5,80
6,80
7,80
8,80
9,79
10,79
11,82
12,260.0
13,12000.0
14,13000.0
15,13000.0
16,15000.0
17,0
18,33000.0
19,33000.0
20,33000.0
21,49000.0
22,49000.0
23,60000.0
24,60000.0
25,60000.0
26,60000.0
27,59000.0
28,54000.0
29,60000.0
30,60000.0
31,60000.0
32,52000.0
33,52000.0
34,60000.0
35,59000.0
36,59000.0
37,31000.0
38,59000.0
39,59000.0
40,60000.0
41,59000.0
42,60000.0
43,60000.0
44,59000.0
45,60000.0
46,59000.0
47,60000.0
48,60000.0
49,60000.0
50,59000.0
51,52000.0
52,59000.0
53,59000.0
54,60000.0
55,59000.0
56,59000.0
57,59000.0
58,40000.0
59,1600.0
60,79
61,86
62,710.0
63,86
64,79
65,81
66,80
67,78
68,78
69,78
70,81
71,80
72,80
73,130.0
74,120.0
75,78
76,78
77,79
78,79
79,82
80,82
81,80
82,80
83,80
84,84
85,120.0
86,120.0
87,86
88,81
89,79
90,79
91,86
92,86
93,85
94,86
95,83
96,84
97,90
98,96
99,88
100,81
101,81
102,86
103,83
104,82
105,83
106,95
107,86
108,82
109,84
110,97
111,95
112,84
113,92
114,120.0
115,10000.0
116,12000.0
117,59000.0
118,12000.0
119,11000.0
120,59000.0
121,60000.0
122,59000.0
123,15000.0
124,60000.0
125,59000.0
126,59000.0
127,25000.0
128,27000.0
129,26000.0
130,59000.0
131,25000.0
132,16000.0
133,1100.0
134,110.0
135,80
136,80
137,81
138,82
139,81
140,81
141,80
142,80
143,80
144,80
145,80
146,80
147,80
148,79
149,83
150,85
151,78
152,78
153,79
154,79
155,79
156,80
157,80
158,79
159,79
160,80
161,120.0
162,120.0
163,79
164,78
165,77
166,77
167,78
168,79
169,80
170,79
171,78
172,78
173,120.0
174,59000.0
175,120.0
176,110.0
177,120.0
178,83
179,82
180,36000.0
181,36000.0
182,59000.0
183,82
184,52000.0
185,59000.0
186,60000.0
187,60000.0
188,79
189,78
190,78
191,82
192,110.0
193,59000.0
194,3200.0
195,85
196,78
197,87
198,130.0
199,120.0
200,79
201,80
202,80
203,22000.0
204,22000.0
205,33000.0
206,59000.0
207,42000.0
208,42000.0
209,120.0
210,59000.0
211,60000.0
212,59000.0
213,82
214,82
215,59000.0
216,59000.0
217,59000.0
218,41000.0
219,54000.0
220,59000.0
221,59000.0
222,56000.0
223,59000.0
224,60000.0
225,20000.0
226,81
227,41000.0
228,46000.0
229,33000.0
230,150.0
231,59000.0
232,24000.0
233,24000.0
234,330.0
235,120.0
236,84
237,80
238,80
239,80
240,81
241,83
242,79
243,79
244,78
245,78
246,78
247,78
248,80
249,79
250,78
251,77
252,83
253,120.0
254,84
255,79
256,80
257,80
258,80
259,79
260,78
261,80
262,79
263,80
264,79
265,120.0
266,120.0
267,80
268,81
269,81
270,79
271,81
272,81
273,79
274,79
275,81
276,83
277,110.0
278,110.0
279,81
280,81
281,81
282,80
283,82
284,83
285,81
286,84
287,110.0
288,87
289,82
290,83
291,82
292,81
293,82
294,88
295,85
296,80
297,80
298,83
299,81
300,78
301,79
302,78
303,78
304,79
305,78
306,78
307,77
308,77
309,78
310,78
311,77
312,79
313,79
314,80
315,79
316,79
317,120.0
318,120.0
319,78
320,78
321,78
322,77
323,82
324,180.0
325,110.0
326,80
327,81
328,81
329,82
330,84
