Label,Instance C,Instance E,Instance A,Instance F,Instance B,Instance D
12/19/23 10:35,,,2580570.1,,,
12/20/23 10:40,,,10198359.8,,4590510.5,
12/20/23 10:45,817423,,7735822,,7700765.8,
12/20/23 10:50,2932280,,1148008,,788147,931121
12/20/23 10:55,4366714.8,,4816308,,5264918.2,3114561.3
12/20/23 11:00,7575040.6,,8069636.6,,5983245.2,4038282.667
12/20/23 11:05,8868417,,8582136.2,,4291341,4210395.8
12/20/23 11:10,5424034.6,3011212,10739339.8,,5577082.8,5510577.6
12/20/23 11:15,3882006.6,3854676,5372203.6,3783826.333,4124693.2,3976569.6
12/20/23 11:20,5341267.4,5679797.6,5531935.2,5483804,5561962.8,5382451.8
12/20/23 11:25,5167192.8,5564902,4795401,5046771.4,4484100.8,4334389.4
12/20/23 11:30,4571873,4698492.8,4634117.4,4641434.4,4593006,4509191.6
