counter,value
1,970.0
2,320.0
3,230.0
4,210.0
5,240.0
6,250.0
7,190.0
8,210.0
9,220.0
10,260.0
11,350.0
12,1500.0
13,13000.0
14,15000.0
15,15000.0
16,15000.0
17,0
18,33000.0
19,33000.0
20,33000.0
21,51000.0
22,51000.0
23,60000.0
24,60000.0
25,60000.0
26,60000.0
27,60000.0
28,60000.0
29,60000.0
30,60000.0
31,60000.0
32,60000.0
33,60000.0
34,60000.0
35,60000.0
36,60000.0
37,60000.0
38,60000.0
39,60000.0
40,60000.0
41,60000.0
42,60000.0
43,60000.0
44,60000.0
45,60000.0
46,60000.0
47,60000.0
48,60000.0
49,60000.0
50,60000.0
51,60000.0
52,60000.0
53,60000.0
54,60000.0
55,60000.0
56,60000.0
57,60000.0
58,60000.0
59,56000.0
60,5800.0
61,7300.0
62,17000.0
63,8200.0
64,180.0
65,24000.0
66,24000.0
67,170.0
68,170.0
69,180.0
70,41000.0
71,41000.0
72,330.0
73,60000.0
74,60000.0
75,320.0
76,170.0
77,190.0
78,320.0
79,45000.0
80,44000.0
81,170.0
82,340.0
83,330.0
84,57000.0
85,60000.0
86,60000.0
87,59000.0
88,36000.0
89,170.0
90,180.0
91,32000.0
92,32000.0
93,35000.0
94,34000.0
95,17000.0
96,18000.0
97,60000.0
98,60000.0
99,60000.0
100,14000.0
101,14000.0
102,19000.0
103,24000.0
104,59000.0
105,18000.0
106,12000.0
107,43000.0
108,59000.0
109,59000.0
110,60000.0
111,60000.0
112,11000.0
113,11000.0
114,59000.0
115,60000.0
116,60000.0
117,60000.0
118,60000.0
119,60000.0
120,60000.0
121,60000.0
122,60000.0
123,60000.0
124,60000.0
125,60000.0
126,60000.0
127,60000.0
128,60000.0
129,60000.0
130,60000.0
131,60000.0
132,60000.0
133,52000.0
134,36000.0
135,220.0
136,210.0
137,290.0
138,59000.0
139,57000.0
140,190.0
141,180.0
142,200.0
143,220.0
144,190.0
145,200.0
146,210.0
147,200.0
148,200.0
149,52000.0
150,53000.0
151,160.0
152,160.0
153,160.0
154,160.0
155,160.0
156,37000.0
157,37000.0
158,160.0
159,160.0
160,170.0
161,60000.0
162,60000.0
163,170.0
164,160.0
165,160.0
166,160.0
167,160.0
168,59000.0
169,59000.0
170,160.0
171,160.0
172,160.0
173,60000.0
174,60000.0
175,60000.0
176,170.0
177,170.0
178,170.0
179,59000.0
180,59000.0
181,60000.0
182,60000.0
183,170.0
184,53000.0
185,60000.0
186,60000.0
187,60000.0
188,160.0
189,120.0
190,120.0
191,340.0
192,60000.0
193,60000.0
194,60000.0
195,49000.0
196,170.0
197,60000.0
198,60000.0
199,60000.0
200,170.0
201,170.0
202,170.0
203,22000.0
204,32000.0
205,60000.0
206,60000.0
207,45000.0
208,45000.0
209,60000.0
210,60000.0
211,60000.0
212,60000.0
213,170.0
214,170.0
215,60000.0
216,60000.0
217,60000.0
218,60000.0
219,60000.0
220,60000.0
221,60000.0
222,60000.0
223,60000.0
224,60000.0
225,24000.0
226,170.0
227,56000.0
228,60000.0
229,60000.0
230,60000.0
231,60000.0
232,60000.0
233,60000.0
234,59000.0
235,60000.0
236,60000.0
237,180.0
238,190.0
239,180.0
240,29000.0
241,49000.0
242,160.0
243,160.0
244,160.0
245,160.0
246,170.0
247,170.0
248,180.0
249,180.0
250,160.0
251,170.0
252,60000.0
253,60000.0
254,60000.0
255,170.0
256,170.0
257,170.0
258,180.0
259,220.0
260,180.0
261,330.0
262,170.0
263,170.0
264,170.0
265,60000.0
266,60000.0
267,170.0
268,15000.0
269,15000.0
270,180.0
271,29000.0
272,28000.0
273,180.0
274,27000.0
275,27000.0
276,18000.0
277,60000.0
278,60000.0
279,180.0
280,12000.0
281,13000.0
282,180.0
283,28000.0
284,59000.0
285,22000.0
286,59000.0
287,48000.0
288,47000.0
289,7800.0
290,59000.0
291,21000.0
292,21000.0
293,32000.0
294,990.0
295,480.0
296,190.0
297,170.0
298,49000.0
299,34000.0
300,170.0
301,190.0
302,180.0
303,170.0
304,370.0
305,210.0
306,180.0
307,170.0
308,170.0
309,160.0
310,160.0
311,170.0
312,32000.0
313,170.0
314,44000.0
315,44000.0
316,170.0
317,60000.0
318,60000.0
319,160.0
320,170.0
321,170.0
322,170.0
323,41000.0
324,32000.0
325,32000.0
326,170.0
327,19000.0
328,19000.0
329,59000.0
330,60000.0
331,2600.0
332,330.0
333,210.0
334,240.0
335,59000.0
336,59000.0
337,170.0
338,170.0
339,170.0
340,170.0
341,200.0
342,200.0
343,170.0
344,170.0
345,160.0
346,180.0
347,220.0
348,180.0
349,180.0
350,180.0
351,170.0
352,19000.0
353,26000.0
354,180.0
355,410.0
356,14000.0
357,17000.0
358,26000.0
359,26000.0
360,170.0
361,27000.0
362,27000.0
363,370.0
364,59000.0
365,60000.0
366,59000.0
367,320.0
368,190.0
369,170.0
370,340.0
371,340.0
372,170.0
373,180.0
374,340.0
375,240.0
376,170.0
377,340.0
378,210.0
379,180.0
380,170.0
381,170.0
382,170.0
383,170.0
384,180.0
385,180.0
386,170.0
387,170.0
388,160.0
389,200.0
390,260.0
391,28000.0
392,32000.0
393,330.0
394,14000.0
395,14000.0
396,170.0
397,350.0
398,31000.0
399,37000.0
400,420.0
401,18000.0
402,1600.0
403,60000.0
404,60000.0
405,160.0
406,180.0
407,180.0
408,160.0
409,160.0
410,170.0
411,170.0
412,170.0
413,170.0
414,170.0
415,59000.0
416,59000.0
417,170.0
418,170.0
419,170.0
420,170.0
421,170.0
422,170.0
423,160.0
424,160.0
425,160.0
426,160.0
427,59000.0
428,59000.0
429,160.0
430,160.0
431,170.0
432,170.0
433,160.0
434,160.0
435,160.0
436,160.0
437,170.0
438,170.0
439,200.0
440,55000.0
441,180.0
442,180.0
443,170.0
444,300.0
445,230.0
446,170.0
447,160.0
448,340.0
449,21000.0
450,170.0
451,18000.0
452,18000.0
453,170.0
454,29000.0
455,30000.0
456,240.0
457,160.0
458,390.0
459,3800.0
460,60000.0
461,60000.0
462,170.0
463,170.0
464,170.0
465,170.0
466,170.0
467,170.0
468,170.0
469,170.0
470,170.0
471,170.0
472,160.0
473,170.0
474,170.0
475,160.0
476,170.0
477,19000.0
478,19000.0
479,160.0
480,31000.0
481,31000.0
482,160.0
483,26000.0
484,27000.0
485,60000.0
486,60000.0
487,180.0
488,160.0
489,59000.0
490,59000.0
491,29000.0
492,31000.0
493,390.0
494,160.0
495,190.0
496,390.0
497,60000.0
498,60000.0
499,60000.0
500,41000.0
501,42000.0
502,16000.0
503,170.0
504,170.0
505,170.0
506,160.0
507,170.0
508,170.0
509,170.0
510,60000.0
511,60000.0
512,170.0
513,18000.0
514,18000.0
515,170.0
516,27000.0
517,34000.0
518,33000.0
519,170.0
520,170.0
521,59000.0
522,59000.0
523,170.0
524,160.0
525,170.0
526,170.0
527,160.0
528,160.0
529,170.0
530,160.0
531,160.0
532,160.0
533,170.0
534,170.0
535,160.0
536,160.0
537,160.0
538,160.0
539,160.0
540,160.0
541,160.0
542,160.0
543,170.0
544,4100.0
545,5700.0
546,18000.0
547,17000.0
548,160.0
549,31000.0
550,31000.0
551,170.0
552,170.0
553,170.0
554,350.0
555,60000.0
556,60000.0
557,170.0
558,170.0
559,41000.0
560,320.0
561,170.0
562,360.0
563,180.0
564,170.0
565,170.0
566,250.0
567,60000.0
568,60000.0
569,170.0
570,170.0
571,170.0
572,170.0
573,170.0
574,330.0
575,390.0
576,160.0
577,160.0
578,160.0
579,160.0
580,160.0
581,170.0
582,170.0
583,160.0
584,160.0
585,160.0
586,160.0
587,160.0
588,160.0
589,160.0
590,160.0
591,160.0
592,160.0
593,170.0
594,170.0
595,170.0
596,170.0
597,170.0
598,170.0
599,170.0
600,170.0
601,170.0
602,46000.0
603,46000.0
604,56000.0
605,60000.0
606,60000.0
607,170.0
608,170.0
609,160.0
610,170.0
611,170.0
612,160.0
613,160.0
614,170.0
615,59000.0
616,54000.0
617,60000.0
618,60000.0
619,220.0
620,170.0
621,170.0
622,160.0
623,160.0
624,160.0
625,160.0
626,160.0
627,160.0
628,160.0
629,160.0
630,160.0
631,160.0
632,160.0
633,160.0
634,160.0
635,160.0
636,160.0
637,160.0
638,160.0
639,160.0
640,160.0
641,4000.0
642,12000.0
643,12000.0
644,170.0
645,25000.0
646,24000.0
647,160.0
648,170.0
649,170.0
650,51000.0
651,51000.0
652,60000.0
653,60000.0
654,260.0
655,170.0
656,160.0
657,160.0
658,160.0
659,170.0
660,170.0
661,160.0
662,60000.0
663,60000.0
664,60000.0
665,60000.0
666,370.0
667,170.0
668,160.0
669,160.0
670,170.0
671,33000.0
672,33000.0
673,40000.0
674,40000.0
675,420.0
676,60000.0
677,60000.0
678,340.0
679,160.0
680,160.0
681,180.0
682,170.0
683,160.0
684,160.0
685,160.0
686,160.0
687,160.0
688,160.0
689,170.0
690,170.0
691,160.0
692,160.0
693,160.0
694,160.0
695,160.0
696,160.0
697,170.0
698,170.0
699,160.0
700,160.0
701,380.0
702,1100.0
703,170.0
704,160.0
705,160.0
706,170.0
707,170.0
708,170.0
709,170.0
710,160.0
711,420.0
712,60000.0
713,60000.0
714,170.0
715,170.0
716,170.0
717,170.0
718,160.0
719,160.0
